combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,1.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,2.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound 3195551981900868001
6.0,3.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.2829106351710344e-20,Compound 3195551981900868001
6.0,4.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.112115567701074e-17,Compound 3195551981900868001
6.0,5.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.0648326311783385e-13,Compound 3195551981900868001
6.0,6.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.4098761254456466e-11,Compound 3195551981900868001
6.0,7.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.1767810743851592e-09,Compound 3195551981900868001
6.0,8.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.3171115290398474e-08,Compound 3195551981900868001
6.0,9.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.064297269173932e-08,Compound 3195551981900868001
6.0,10.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.902778044962881e-07,Compound 3195551981900868001
6.0,15.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.6592572105577002e-05,Compound 3195551981900868001
6.0,20.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0004128734750568326,Compound 3195551981900868001
6.0,25.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0024798646022436343,Compound 3195551981900868001
6.0,30.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.009492366056882185,Compound 3195551981900868001
6.0,35.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.026598319019689988,Compound 3195551981900868001
6.0,40.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.057997852946642,Compound 3195551981900868001
6.0,45.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.10691294957724111,Compound 3195551981900868001
6.0,50.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.17785973746153216,Compound 3195551981900868001
6.0,60.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.39455904722285573,Compound 3195551981900868001
6.0,70.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.7149497567844341,Compound 3195551981900868001
6.0,80.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.1448572708653353,Compound 3195551981900868001
6.0,90.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.661354326676907,Compound 3195551981900868001
6.0,100.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.246623783922171,Compound 3195551981900868001
6.0,110.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.8844726062467996,Compound 3195551981900868001
6.0,120.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,3.5439638318670577,Compound 3195551981900868001
6.0,130.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.219147116324535,Compound 3195551981900868001
6.0,140.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.890534085090537,Compound 3195551981900868001
6.0,150.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,5.596946735620144,Compound 3195551981900868001
6.0,160.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,6.307319354877997,Compound 3195551981900868001
6.0,170.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.0152146245516604,Compound 3195551981900868001
6.0,180.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.7055592023005754,Compound 3195551981900868001
6.0,190.0,6.0,6.0,0.92058,0.00046,60.15,300.0,Compound 3195551981900868001,0.0,20.0,0.00017,110.7581,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,8.365047233468285,Compound 3195551981900868001
